name	operator	operator_detail	past_names	location	years	status	current_name	website
Central LA Juvenile Justice	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Alexandria, LA		FALSE		
Eckerd Academy at Brooksville	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Brooksville, FL		FALSE		
Eckerd Academy at Deer Lodge	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Deer Lodge, TN	2007–	FALSE		
Eckerd Academy of the Blue Ridge	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Suches, GA	1996–	FALSE		
Eckerd Comprehensive Youth Treatment Program	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Raiford, FL	1994–	FALSE		
Eckerd Connects Boys Residential Academy at Boomer	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Boomer, NC		FALSE		
Eckerd Connects Boys Residential Academy at Candor	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Candor, NC		FALSE		
Eckerd Connects Boys Residential Academy at Yanceyville	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Yanceyville, NC		FALSE		
Eckerd Connects E-Nini-Hassee	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Floral City, FL		FALSE		
Eckerd Connects Foster Services	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Oklahoma City, OK		FALSE		
Eckerd Connects Girls Residential Academy at Kerr Lake	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Manson, NC		FALSE		
Eckerd Intensive Halfway House	"Eckerd Connects
"	Clearwater, FL | 1968-Present		West Palm Beach, FL	1994–	FALSE		
Eckerd Re-Entry Program	"Eckerd Connects
"	Clearwater, FL | 1968-Present		North Palm Beach, FL	1988–	FALSE		
Eckerd Treatment Program for Girls/ Vernon Place	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Vernon, FL		FALSE		
Eckerd Youth Academy	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Christmas, FL		FALSE		
Eckerd Youth Challenge Center	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Brooksville, FL	1988–	FALSE		
Eckerd Youth Development Center	"Eckerd Connects
"	Clearwater, FL | 1968-Present		Okeechobee, FL	1982–	FALSE		
A Better Way Youth Academy	"World Wide Association of Specialty Programs and Schools (WWASPS)
"	St. George, UT | 1998-2009	Robert Louis Stevenson Youth Academy; Mole Ole Ava	Vaitele, Samoa		Closed		
Academy at Ivy Ridge	"World Wide Association of Specialty Programs and Schools (WWASPS)
"	St. George, UT | 1998-2011		Ogdensburg, NY	2001–2009	Closed		
Bell(e) Academy	"World Wide Association of Specialty Programs and Schools (WWASPS)
"	St. George, UT | 1998-2012		Terra Bella, CA	2003–2003	Closed		
Bethel Girls Academy	"World Wide Association of Specialty Programs and Schools (WWASPS)
"	St. George, UT | 1998-2014		Petal, MS	1997–2005	Closed		
Brightway Adolescent Hospital	"World Wide Association of Specialty Programs and Schools (WWASPS)
"	St. George, UT | 1998-2015		St. George, UT	1993–1998	Closed		
Camas Ranch	"World Wide Association of Specialty Programs and Schools (WWASPS)
"	St. George, UT | 1998-2016		Plains, MT	2007–2009	Closed		
Seneca Ranch	"World Wide Association of Specialty Programs and Schools (WWASPS)
"	St. George, UT | 1998-2017	Carolina Springs Academy	Due West, SC	1998–2009	Closed		
Casa by the Sea	"World Wide Association of Specialty Programs and Schools (WWASPS)
"	St. George, UT | 1998-2018		Ensenada, Baja California, Mexico	1998–2004	Closed		
Coral Island Academy	"World Wide Association of Specialty Programs and Schools (WWASPS)
"	St. George, UT | 1998-2019		Fiji		Closed		
Cross Creek Center	"World Wide Association of Specialty Programs and Schools (WWASPS)
"	St. George, UT | 1998-2020		La Verkin, UT	1988–2011	Closed		
Cross Creek Manor	"World Wide Association of Specialty Programs and Schools (WWASPS)
"	St. George, UT | 1998-2021		La Verkin, UT	1986–2011	Closed		
Darrington Academy	"World Wide Association of Specialty Programs and Schools (WWASPS)
"	St. George, UT | 1998-2022		Blue Ridge, GA	2004–2009	Closed		
Eagle Point Christian Academy	"World Wide Association of Specialty Programs and Schools (WWASPS)
"	St. George, UT | 1998-2023	Bethel Academy	Lucedale, MS		Closed		
Gulf Coast Academy	"World Wide Association of Specialty Programs and Schools (WWASPS)
"	St. George, UT | 1998-2024		Lucedale, MS		Closed		
High Impact	"World Wide Association of Specialty Programs and Schools (WWASPS)
"	St. George, UT | 1998-2025		Tecate, Baja California, Mexico		Closed		
Linden House	"World Wide Association of Specialty Programs and Schools (WWASPS)
"	St. George, UT | 1998-2027		St. George, UT	1998–2000	Closed		
Midwest Academy	"World Wide Association of Specialty Programs and Schools (WWASPS)
"	St. George, UT | 1998-2029		Keokuk, IA	2003–2016	Closed		
Morava Academy	"World Wide Association of Specialty Programs and Schools (WWASPS)
"	St. George, UT | 1998-2030		Brno, Czech Republic	1998–1998	Closed		
Never Give Up Youth Healing Services	"World Wide Association of Specialty Programs and Schools (WWASPS)
"	St. George, UT | 1998-2031	Horizon Academy (2004-2011)	Amargosa Valley, NV	2013–2023	Closed		
Oceanside Teen Center	"World Wide Association of Specialty Programs and Schools (WWASPS)
"	St. George, UT | 1998-2032		Mexico	2008	Closed		
Old West Academy	"World Wide Association of Specialty Programs and Schools (WWASPS)
"	St. George, UT | 1998-2033	Majestic Ranch Academy	Randolph, UT	1986–2007	Closed		
Paradise Cove	"World Wide Association of Specialty Programs and Schools (WWASPS)
"	St. George, UT | 1998-2034		Western Samoa		Closed		
Pillars of Hope	"World Wide Association of Specialty Programs and Schools (WWASPS)
"	St. George, UT | 1998-2035	Academy at Dundee Ranch (2000-2003)	Orotina, Costa Rica	2004–2012	Closed		
Royal Gorge Academy	"World Wide Association of Specialty Programs and Schools (WWASPS)
"	St. George, UT | 1998-2037		Canon City, CO	2006–2008	Closed		
Sky View Christian Academy	"World Wide Association of Specialty Programs and Schools (WWASPS)
"	St. George, UT | 1998-2038		Hawthorne, NV	2005–2007	Closed		
Spring Creek Lodge Academy	"World Wide Association of Specialty Programs and Schools (WWASPS)
"	St. George, UT | 1998-2039		Sanders County, MT	1997–2009	Closed		
Sunrise Beach	"World Wide Association of Specialty Programs and Schools (WWASPS)
"	St. George, UT | 1998-2040		Cancun, Mexico	1995–1995	Closed		
Sunset Bay Academy	"World Wide Association of Specialty Programs and Schools (WWASPS)
"	St. George, UT | 1998-2041		Mexico	2008–2009	Closed		
Teen Mentor School	"World Wide Association of Specialty Programs and Schools (WWASPS)
"	St. George, UT | 1998-2042		Tarcoles, Costa Rica	2010–2011	Closed		
Tranquility Bay	"World Wide Association of Specialty Programs and Schools (WWASPS)
"	St. George, UT | 1998-2043		Treasure Beach, Jamaica	1997–2009	Closed		
US Youth Services	"World Wide Association of Specialty Programs and Schools (WWASPS)
"	St. George, UT | 1998-2044	Red River Academy (2006-2015)	Lecompte, LA	2015–2018	Closed		
New Beginnings Girls Academy	"Roloff Homes
"	Corpus Christi, TX | est. 1958			2001-2015	Closed		
Lighthouse for Boys	"Roloff Homes
"	Corpus Christi, TX | est. 1959				Closed		
Rebekah Home	"Roloff Homes
"	Corpus Christi, TX | est. 1960			1967-2001	Closed		
Bethesda Home	"Roloff Homes
"	Corpus Christi, TX | est. 1961				Closed		
Mountain Park Baptist Boarding Academy	"Roloff Homes
"	Corpus Christi, TX | est. 1962			1987-2004	Closed		
Marvelous Grace Girls Academy	"Roloff Homes
"	Corpus Christi, TX | est. 1963			2008-2022	Closed		
Anchor Home for Boys	"Roloff Homes
"	Corpus Christi, TX | est. 1964				Closed		
Bledsoe Youth Academy	"Youth Opportunity Investments LLC
"	Carmel, IN |  2009		Gallatin, TN		FALSE		
Broward Youth Treatment Center	"Youth Opportunity Investments LLC
"	Carmel, IN |  2010		Pembroke Pines, FL		FALSE		
Center for Success and Independence – Ocala	"Youth Opportunity Investments LLC
"	Carmel, IN |  2011		Ocala, FL		FALSE		
Cleveland Academy	"Youth Opportunity Investments LLC
"	Carmel, IN |  2012		Cleveland, TN		FALSE		
Crestview Youth Academy	"Youth Opportunity Investments LLC
"	Carmel, IN |  2013		Crestview, FL		FALSE		
Deep Creek Youth Academy	"Youth Opportunity Investments LLC
"	Carmel, IN |  2014		Hastings, FL		FALSE		
Elizabethton Academy	"Youth Opportunity Investments LLC
"	Carmel, IN |  2015		Elizabethton, TN		FALSE		
Everglades Youth Academy	"Youth Opportunity Investments LLC
"	Carmel, IN |  2016		Okeechobee, FL		Open		
Kissimmee Youth Academy	"Youth Opportunity Investments LLC
"	Carmel, IN |  2017		Kissimmee, FL		Open		
Lebanon Academy	"Youth Opportunity Investments LLC
"	Carmel, IN |  2018		Lebanon, TN		FALSE		
Mansfield Juvenile Treatment Center	"Youth Opportunity Investments LLC
"	Carmel, IN |  2019		Mansfield, AR		FALSE		
Memphis Youth Academy	"Youth Opportunity Investments LLC
"	Carmel, IN |  2020		Bartlett, TN		FALSE		
Mount Juliet Academy	"Youth Opportunity Investments LLC
"	Carmel, IN |  2021		Mt. Juliet, TN		FALSE		
Roane Academy	"Youth Opportunity Investments LLC
"	Carmel, IN |  2022		Rockwood, TN		FALSE		
Rosewood Youth Academy	"Youth Opportunity Investments LLC
"	Carmel, IN |  2023		Nashville, TN		Open		
St. Augustine Youth Academy	"Youth Opportunity Investments LLC
"	Carmel, IN |  2024	St. John's Youth Academy	St. Augustine, FL		Open		
Alabama Clinical Schools	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Birmingham, AL		FALSE		
Ascent Wilderness Program	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Naples, ID		Closed		
Boulder Creek Academy	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Bonners Ferry, ID		Closed		
Bristol Youth Academy	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Bristol, FL		FALSE		
Cedar Grove RTC	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Murfreesboro, TN		FALSE		
Cedar Ridge Behavioral Hospital	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Oklahoma City, OK		FALSE		
Chad Youth Enhancement Center	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Ashland City, TN		FALSE		
Coastal Harbor Treatment Center	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Savannah, GA		FALSE		
Columbus Behavioral Center	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Columbus, IN		FALSE		
Copper Hills Youth Center	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present	Rivendell of Utah	West Jordan, UT		Open		
Cumberland Hospital for Children and Adolescents	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		New Kent, VA		Open		
North Star Behavioral Health DeBarr RTC	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Anchorage, AK		FALSE		
North Star Behavioral Health Palmer RTC	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Anchorage, AK		FALSE		
Diamond Grove Center for Children Residential Psychiatric Program	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Louisville, MS		FALSE		
Fox Run Center for Children and Adolescents	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		St. Clairsville, OH		Open		
Gulf Coast Treatment Center	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Fort Walton Beach, FL		Open		
Harbor Point Behavioral Health Center	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Portsmouth, VA		FALSE		
Havenwyck Hospital Residential Impulse Disorder Program	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Auburn Hills, MI		Open		
Heartland Behavioral Health Services RTF	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Nevada, MO		FALSE		
Hermitage Hall	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Nashville, TN		FALSE		
Hill Crest Behavioral Health	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Birmingham, AL		FALSE		
Intermountain Hospital	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Boise, ID		Open		
Kempsville Center for Behavioral Health Adolescent Residential Treatment Program	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Norfolk, VA		FALSE		
Keys of Carolina	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Charlotte, NC		FALSE		
Keystone Marion Youth Center	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present				Closed		
La Amistad Behavioral Health Services Teen Residential Treatment	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Orlando, FL		FALSE		
Laurel Heights Hospital Residential Treatment	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Atlanta, GA		Open		
Laurel Oaks Behavioral Health Center RTC	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Dothan, AL		FALSE		
Laurel Ridge Treatment Center Child & Adolescent RTC	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		San Antonio, TX		Open		
Liberty Point Behavioral Healthcare Secure Residential Treatment	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Staunton, VA		FALSE		
Lighthouse Care Center of Augusta Psychiatric RTP	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Augusta, GA		FALSE		
McDowell Center for Children	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Dyersburg, TN		FALSE		
Meridell Achievement Center	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Liberty Hill, TX		Open		
Michiana Behavioral Health Residential Program	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Plymouth, IN		FALSE		
Midwest Center for Youth and Families Therapeutic RTC	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Kouts, IN		FALSE		
Milton Girls Residential Facility	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Milton, FL		FALSE		
Mountain Youth Academy	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Mountain City, TN		FALSE		
Natchez Trace Youth Academy	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Waverly, TN		FALSE		
National Deaf Academy	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Mt. Dora, FL		FALSE		
Newport News Behavioral Health Center RTF	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Newport News, VA		FALSE		
North Spring Behavioral Healthcare Horizons Program	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Leesburg, VA		FALSE		
North Spring Behavioral Healthcare Sunrise Program	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Leesburg, VA		FALSE		
North Spring Behavioral Healthcare Trailblazers Program	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Leesburg, VA		FALSE		
Northwest Academy	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Bonners Ferry, ID / Naples, ID		Closed		
Oak Plains Academy	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Ashland City, TN		FALSE		
Okaloosa Youth Academy	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Crestview, FL		FALSE		
Palm Shores Behavioral Health Center	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Bradenton, FL		FALSE		
Palmetto Pee Dee Behavioral Health	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Florence, SC		FALSE		
Palmetto Summerville Behavioral Health	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Summerville, SC		FALSE		
Parkwood Behavioral Health System Adolescent Residential Program	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Olive Branch, MS		FALSE		
Pines Residential Treatment Center	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Portsmouth, VA		FALSE		
Pinnacle Pointe Hospital Sub-Acute Inpatient Treatment	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Little Rock, AR		FALSE		
Poplar Springs Hospital RTC	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Petersburg, VA		FALSE		
Provo Canyon School	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Provo, UT		Open		
Rivendell of Arkansas	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present				FALSE		
River Park Hospital – The Barboursville School	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Huntington, WV		FALSE		
River Park Hospital – The Roundtable Program	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Huntington, WV		FALSE		
River Park Hospital – The Bridge Program	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Huntington, WV		FALSE		
Rock River Academy	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Rockford, IL		FALSE		
San Marcos Treatment Center	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present	The Brown Schools at San Marcos	San Marcos, TX		Open		
SandyPines RTC	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Jupiter, FL		FALSE		
Shadow Mountain Behavioral Health System	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present	The Brown Schools at Shadow Mountain			Open		
Suncoast Behavioral Health Center RTP	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Bradenton, FL		FALSE		
The Hughes Center	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Danville, VA		FALSE		
The Meadows Psychiatric Center	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Centre Hall, PA		FALSE		
The Pavilion Behavioral Health System RTC	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Haverhill, MA		FALSE		
Three Rivers Midlands	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		West Columbia, SC		FALSE		
Timberlawn Psychiatric Hospital	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Dallas, TX		FALSE		
Two Rivers Psychiatric Hospital	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Kansas City, MO		FALSE		
Valle Vista Health System Residential Treatment	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Greenwood, IN		FALSE		
West Oaks Hospital PRTF	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present	The Brown Schools at West Oaks	Houston, TX		FALSE		
Westwood Lodge	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Westwood, MA		FALSE		
Willow Springs Center	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Reno, NV		FALSE		
Wyoming Behavioral Institute Pathways Residential Trauma-Informed Care	"Universal Health Services (UHS)
"	King of Prussia, PA | 1979-Present		Casper, WY		FALSE		
Devereux Ackerman Academy	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Kennesaw, GA		FALSE		
Devereux Advanced Behavioral Health Arizona	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Phoenix, AZ		FALSE		
Devereux Advanced Behavioral Health Florida	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Orlando, FL		FALSE		
Devereux Advanced Behavioral Health Georgia	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Kennesaw, GA		FALSE		
Devereux Advanced Behavioral Health Massachusetts & Rhode Island	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Rutland, MA		FALSE		
Devereux Advanced Behavioral Health Pennsylvania	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Villanova, PA		FALSE		
Devereux Advanced Behavioral Health Texas	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		League City, TX		FALSE		
Devereux Arizona Assessment and Intervention Center	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Tucson, AZ		FALSE		
Devereux Arizona Brief Intervention Program	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Tucson, AZ		FALSE		
Devereux Arizona RTC	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Scottsdale, AZ		FALSE		
Devereux Cathy House	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Fitchburg, MA		FALSE		
Devereux Cleo Wallace Center	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Westminster, CO		FALSE		
Devereux Devon House	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Fitchburg, MA		FALSE		
Devereux Eastmeadow	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Rutland, MA		FALSE		
Devereux Fentress House	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Rutland, MA		FALSE		
Devereux Florida Child and Adolescent Psychiatric Specialty Hospital	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Orlando, FL		FALSE		
Devereux Florida I/DD Group Homes	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Orange County, FL / Brevard County, FL		FALSE		
Devereux Florida Residential Group Care	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Orlando, FL / Titusville, FL		FALSE		
Devereux Florida RTC	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Orlando, FL		FALSE		
Devereux Florida Specialized Therapeutic Group Home	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Titusville, FL		FALSE		
Devereux Gate House	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Rutland, MA		FALSE		
Devereux Georgia Intensive Residential Treatment	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Kennesaw, GA		FALSE		
Devereux Georgia Discovery Program	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Kennesaw, GA		FALSE		
Devereux Georgia Journey Program	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Kennesaw, GA		FALSE		
Devereux Georgia Adolescent Females Program	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Kennesaw, GA		FALSE		
Devereux Georgia Adolescent Males Program	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Kennesaw, GA		FALSE		
Devereux Hillcrest	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Rutland, MA		FALSE		
Devereux Hillside	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Rutland, MA		FALSE		
Devereux Massachusetts Boys' Residential Program	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Rutland, MA		FALSE		
Devereux Massachusetts Girls' Residential Program	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Rutland, MA		FALSE		
Devereux Pennsylvania Autism Intensive Residential Services	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		West Chester, PA		FALSE		
Devereux Pennsylvania Behavioral Health Psychiatric Residential Treatment Program	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		West Chester, PA		FALSE		
Devereux Pennsylvania Brandywine School	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Glenmoore, PA		FALSE		
Devereux Pennsylvania Children's Behavioral Health Center	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Malvern, PA		FALSE		
Devereux Pennsylvania ID/ASD Residential Program	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Malvern, PA		FALSE		
Devereux Pennsylvania ID/MH Program	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Malvern, PA		FALSE		
Devereux Pennsylvania Mapleton Intensive Program	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Malvern, PA		FALSE		
Devereux STARR Program	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Paxton, MA / Rutland, MA		FALSE		
Devereux Texas Autism Intensive Residential Program for Adolescents	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		League City, TX		FALSE		
Devereux Trafford House	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Rutland, MA		FALSE		
The Devereux Red Hook School	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Red Hook, NY		FALSE		
The Devereux School	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Viera, FL / Rutland, MA		FALSE		
The Devereux School for Integrated Learning	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		West Chester, PA		FALSE		
The Glenholme School	"Devereux Advanced Behavioral Health
"	Villanova, PA | 1912-Present		Washington, CT		FALSE		
Newport Academy – Acre	Newport Healthcare	Nashville, TN | 2008-Present		Orange, CA		FALSE		
Newport Academy – Aracena	Newport Healthcare	Nashville, TN | 2008-Present		Camarillo, CA		FALSE		
Newport Academy – Avocado	Newport Healthcare	Nashville, TN | 2008-Present		Camarillo, CA		FALSE		
Newport Academy – Charlotte	Newport Healthcare	Nashville, TN | 2008-Present		Charlotte, NC		FALSE		
Newport Academy – Double Hill	Newport Healthcare	Nashville, TN | 2008-Present		Bethlehem, CT		FALSE		
Newport Academy – Gratitude	Newport Healthcare	Nashville, TN | 2008-Present		Great Falls, VA		FALSE		
Newport Academy – Happy Valley	Newport Healthcare	Nashville, TN | 2008-Present		Pleasanton, CA		FALSE		
Newport Academy – Highcliff	Newport Healthcare	Nashville, TN | 2008-Present		North Tustin, CA		FALSE		
Newport Academy – Hill	Newport Healthcare	Nashville, TN | 2008-Present		Orange, CA		FALSE		
Newport Academy – Hillside	Newport Healthcare	Nashville, TN | 2008-Present		Orange, CA		FALSE		
Newport Academy – Kurtz	Newport Healthcare	Nashville, TN | 2008-Present		McLean, VA		FALSE		
Newport Academy – Maoli	Newport Healthcare	Nashville, TN | 2008-Present		San Rafael, CA		FALSE		
Newport Academy – Morada	Newport Healthcare	Nashville, TN | 2008-Present		Orange, CA		FALSE		
Newport Academy – Oakley	Newport Healthcare	Nashville, TN | 2008-Present		Oakley, UT		FALSE		
Newport Academy – Paloma	Newport Healthcare	Nashville, TN | 2008-Present		Castro Valley, CA		FALSE		
Newport Academy – Port Townsend	Newport Healthcare	Nashville, TN | 2008-Present		Port Townsend, WA		FALSE		
Newport Academy – Ranch	Newport Healthcare	Nashville, TN | 2008-Present		Orange, CA		FALSE		
Newport Academy – Redwood	Newport Healthcare	Nashville, TN | 2008-Present		San Geronimo, CA		FALSE		
Newport Academy – Ridgeview	Newport Healthcare	Nashville, TN | 2008-Present		Orange, CA		FALSE		
Newport Academy – Rodeo	Newport Healthcare	Nashville, TN | 2008-Present		Orange, CA		FALSE		
Newport Academy – Rogers	Newport Healthcare	Nashville, TN | 2008-Present		Orange, CA		FALSE		
Newport Academy – Rush Creek	Newport Healthcare	Nashville, TN | 2008-Present		Novato, CA		FALSE		
Newport Academy – Seattle	Newport Healthcare	Nashville, TN | 2008-Present		Kirkland, WA		FALSE		
Newport Academy – St. Cloud	Newport Healthcare	Nashville, TN | 2008-Present		St. Cloud, MN		FALSE		
Newport Academy – Sundance	Newport Healthcare	Nashville, TN | 2008-Present		Orange, CA		FALSE		
Newport Academy – Tanglewood	Newport Healthcare	Nashville, TN | 2008-Present		Orange, CA		FALSE		
Newport Academy – Todd Hill	Newport Healthcare	Nashville, TN | 2008-Present		Bethlehem, CT		FALSE		
Newport Academy Child and Pre-Teen RTP	Newport Healthcare	Nashville, TN | 2008-Present		Southern California		FALSE		
Newport Institute – Miramar	Newport Healthcare	Nashville, TN | 2008-Present		Santa Ana, CA		FALSE		
PrairieCare Residential Services	Newport Healthcare	Nashville, TN | 2008-Present		Maple Grove, MN		FALSE		
KIDS of Bergen County	"KIDS Centers of America
"	Hackensack, NJ | 1984-1998		Hackensack, NJ; Secaucus, NJ	1984–1998	FALSE		
